GEN,AGS,25.01.2021,26.01.2021,27.01.2021,28.01.2021,29.01.2021,30.01.2021,31.01.2021,01.02.2021,02.02.2021,03.02.2021,04.02.2021,05.02.2021,06.02.2021,07.02.2021,08.02.2021,09.02.2021,10.02.2021,11.02.2021,12.02.2021,13.02.2021,14.02.2021,15.02.2021,16.02.2021,17.02.2021,18.02.2021,19.02.2021,20.02.2021,21.02.2021,22.02.2021,23.02.2021,24.02.2021,25.02.2021,26.02.2021,27.02.2021,28.02.2021,01.03.2021,02.03.2021,03.03.2021,04.03.2021,05.03.2021,06.03.2021,07.03.2021,08.03.2021,09.03.2021,10.03.2021,11.03.2021,12.03.2021,13.03.2021,14.03.2021,15.03.2021,16.03.2021,17.03.2021,18.03.2021,19.03.2021,20.03.2021,21.03.2021,22.03.2021,23.03.2021,24.03.2021,25.03.2021,26.03.2021,27.03.2021,28.03.2021,29.03.2021,30.03.2021,31.03.2021,01.04.2021,02.04.2021,03.04.2021,04.04.2021,05.04.2021,06.04.2021,07.04.2021,08.04.2021,09.04.2021,10.04.2021,11.04.2021,12.04.2021,13.04.2021,14.04.2021,15.04.2021,16.04.2021,17.04.2021,18.04.2021,19.04.2021,20.04.2021,21.04.2021,22.04.2021,23.04.2021,24.04.2021,25.04.2021,26.04.2021,27.04.2021,28.04.2021,29.04.2021,30.04.2021,01.05.2021,02.05.2021,03.05.2021,04.05.2021,05.05.2021,06.05.2021,07.05.2021,08.05.2021,09.05.2021,10.05.2021,11.05.2021,12.05.2021,13.05.2021,14.05.2021,15.05.2021,16.05.2021,17.05.2021,18.05.2021,19.05.2021,20.05.2021,21.05.2021,22.05.2021,23.05.2021,24.05.2021,25.05.2021,26.05.2021,27.05.2021,28.05.2021,29.05.2021,30.05.2021,31.05.2021,01.06.2021,02.06.2021,03.06.2021,04.06.2021,05.06.2021,06.06.2021,07.06.2021,08.06.2021,09.06.2021,10.06.2021,11.06.2021,12.06.2021,13.06.2021,14.06.2021,15.06.2021,16.06.2021,17.06.2021,18.06.2021,19.06.2021,20.06.2021,21.06.2021,22.06.2021,23.06.2021,24.06.2021,25.06.2021,26.06.2021,27.06.2021,28.06.2021,29.06.2021,30.06.2021,01.07.2021,02.07.2021,03.07.2021,04.07.2021,05.07.2021,06.07.2021,07.07.2021,08.07.2021,09.07.2021,10.07.2021,11.07.2021,12.07.2021,13.07.2021,14.07.2021,15.07.2021,16.07.2021,17.07.2021,18.07.2021,19.07.2021,20.07.2021,21.07.2021,22.07.2021,23.07.2021,24.07.2021,25.07.2021,26.07.2021,27.07.2021,28.07.2021,29.07.2021,30.07.2021,31.07.2021,01.08.2021,02.08.2021,03.08.2021,04.08.2021,05.08.2021,06.08.2021,07.08.2021,08.08.2021,09.08.2021,10.08.2021,11.08.2021,12.08.2021,13.08.2021,14.08.2021,15.08.2021,16.08.2021,17.08.2021,18.08.2021,19.08.2021,20.08.2021,21.08.2021,22.08.2021,23.08.2021,24.08.2021,25.08.2021,26.08.2021,27.08.2021,28.08.2021,29.08.2021,30.08.2021,31.08.2021,01.09.2021,02.09.2021,03.09.2021,04.09.2021,05.09.2021,06.09.2021,07.09.2021,08.09.2021,09.09.2021,10.09.2021,11.09.2021,12.09.2021,13.09.2021,14.09.2021,15.09.2021,16.09.2021,17.09.2021,18.09.2021,19.09.2021,20.09.2021,21.09.2021,22.09.2021,23.09.2021,24.09.2021,25.09.2021,26.09.2021,27.09.2021,28.09.2021,29.09.2021,30.09.2021,01.10.2021,02.10.2021,03.10.2021,04.10.2021,05.10.2021,06.10.2021,07.10.2021,08.10.2021,09.10.2021,10.10.2021,11.10.2021,12.10.2021,13.10.2021,14.10.2021,15.10.2021,16.10.2021,17.10.2021,18.10.2021,19.10.2021,20.10.2021,21.10.2021,22.10.2021,23.10.2021,24.10.2021,25.10.2021,26.10.2021,27.10.2021,28.10.2021,29.10.2021,30.10.2021,31.10.2021,01.11.2021,02.11.2021,03.11.2021,04.11.2021,05.11.2021,06.11.2021,07.11.2021,current,current_time
Rendsburg-Eckernförde,1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/11/2021 19:00
Schleswig-Flensburg,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612.0,17612,17612,07/11/2021 00:00
Segeberg,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99969.0,99969.0,99969.0,99969.0,99969.0,99969.0,99969.0,99969.0,99969.0,99969.0,99969.0,99969.0,99969.0,99969.0,99969.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035.0,116035,116035,06/11/2021 00:00
Steinburg,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/11/2021 00:00
Stormarn,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/11/2021 00:00
Hamburg,2000,32435.0,,,,32435.0,32435.0,32435.0,32435.0,32435.0,32435.0,32435.0,32435.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,53886.0,113615.0,119987.0,119987.0,119987.0,119987.0,135348.0,135348.0,135348.0,135348.0,147871.0,147871.0,156523.0,159898.0,159898.0,159898.0,174901.0,174901.0,174901.0,188415.0,188415.0,200591.0,200591.0,211810.0,211810.0,211810.0,211810.0,231408.0,231408.0,240381.0,240381.0,244660.0,244660.0,244660.0,260973.0,260973.0,260973.0,260973.0,260973.0,260973.0,260973.0,260973.0,304596.0,304596.0,304596.0,304596.0,304596.0,304596.0,304596.0,304596.0,304596.0,364131.0,364131.0,364131.0,364131.0,364131.0,395094.0,412815.0,412815.0,412815.0,412815.0,412815.0,412815.0,462739.0,462739.0,462739.0,482644.0,482644.0,482644.0,482644.0,482644.0,482644.0,482644.0,482644.0,558235.0,558235.0,558235.0,558235.0,558235.0,558235.0,558235.0,558235.0,558235.0,629079.0,629079.0,629079.0,629079.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,664000.0,1097419.0,1097419.0,1097419.0,1145372.0,1145372.0,1184156.0,1196561.0,1196561.0,1236056.0,1236056.0,1287238.0,1287238.0,1287238.0,1319566.0,1319566.0,1319566.0,1397223.0,1397223.0,1397223.0,1397223.0,1457879.0,1457879.0,1508867.0,1508867.0,1559851.0,1559851.0,1578049.0,1595815.0,1617685.0,1617685.0,1617685.0,1617685.0,1674423.0,1715318.0,1715318.0,1715318.0,1715318.0,1715318.0,1793408.0,1793408.0,1793408.0,1793408.0,1793408.0,1891450.0,1911830.0,1911830.0,1911830.0,1941542.0,1941542.0,1941542.0,1941542.0,1941542.0,1991220.0,1991220.0,1991220.0,1991220.0,1991220.0,2049030.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288.0,2155288,2155288,07/11/2021 00:00
Braunschweig,3101,4181.0,,,,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,4181.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,14337.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,20571.0,27155.0,27155.0,27155.0,27155.0,27155.0,27155.0,27155.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,34594.0,46217.0,46217.0,46217.0,46217.0,46217.0,46217.0,46217.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,49178.0,75146.0,75146.0,75146.0,75146.0,75146.0,75146.0,75146.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,99302.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,105325.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,127892.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,336047.0,359170.0,359170.0,359170,359170,07/11/2021 00:00
Salzgitter,3102,1995.0,,,,2797.0,2797.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,3462.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,5119.0,11500.0,11841.0,11841.0,11841.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,12849.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532.0,23532,23532,07/11/2021 00:00
Wolfsburg,3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,14692.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768.0,70768,70768,06/11/2021 00:00
Gifhorn,3151,2348.0,,,,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,3080.0,5476.0,5476.0,5476.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,11041.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,15806.0,28037.0,28037.0,28037.0,28037.0,28037.0,28037.0,28037.0,28037.0,37596.0,37596.0,37596.0,37596.0,37596.0,37596.0,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0,28084.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,49364.0,78219.0,78219.0,78219.0,83843.0,83843.0,83843.0,83843.0,83843.0,83843.0,83843.0,83843.0,83843.0,83843.0,83843.0,83843.0,83843.0,83843.0,83843.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,93613.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592.0,196592,196592,07/11/2021 00:00
Goslar,3153,,,,,3558.0,3558.0,3558.0,3558.0,3558.0,4583.0,4583.0,4583.0,4890.0,5538.0,6260.0,6260.0,6260.0,6260.0,6260.0,7757.0,8037.0,8037.0,8037.0,8037.0,8558.0,8896.0,8896.0,9470.0,9470.0,9470.0,9470.0,10087.0,10087.0,10087.0,11141.0,11141.0,11231.0,11231.0,11231.0,12604.0,12604.0,13523.0,13523.0,13523.0,14428.0,15322.0,15322.0,16532.0,16532.0,16532.0,16532.0,16532.0,17893.0,17893.0,17893.0,19333.0,19333.0,19333.0,21001.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,21746.0,28885.0,28885.0,31062.0,31062.0,31062.0,31062.0,33407.0,33407.0,33407.0,33407.0,33407.0,33407.0,33407.0,33407.0,33407.0,33407.0,33407.0,42961.0,43388.0,43388.0,43388.0,43388.0,43388.0,45066.0,45066.0,45066.0,55668.0,55668.0,55668.0,55668.0,55668.0,64009.0,64009.0,64009.0,64009.0,64009.0,64009.0,71696.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,71833.0,98935.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,100421.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,126895.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519.0,189519,189519,07/11/2021 00:00
